ngram,n,count,document_count,median_density_pct,nonzero_median_density_pct,recommended_density_pct,recommended_occurrences_per_1000_words,recommended_min_occurrences_per_1000_words,recommended_max_occurrences_per_1000_words,competitor_density_pct,density_basis,recommended_use,ngram_id
old tattoo,2,17,3,0.4348,0.4348,0.4348,4.3,3.2,5.4,cmp_001:1/230=0.4348% | cmp_002:11/2419=0.4547% | cmp_003:5/1207=0.4143%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_001
tattoo can,2,3,3,0.0829,0.0829,0.0829,0.8,0.6,1.0,cmp_001:1/230=0.4348% | cmp_002:1/2419=0.0413% | cmp_003:1/1207=0.0829%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_002
tattoo cover,2,33,2,0.7441,0.9934,0.7441,7.4,5.6,9.2,cmp_001:0/230=0.0% | cmp_002:18/2419=0.7441% | cmp_003:15/1207=1.2428%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_003
cover ups,2,31,2,0.7441,0.9106,0.7441,7.4,5.6,9.2,cmp_001:0/230=0.0% | cmp_002:18/2419=0.7441% | cmp_003:13/1207=1.0771%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_004
old ink,2,7,2,0.1657,0.1862,0.1657,1.7,1.3,2.1,cmp_001:0/230=0.0% | cmp_002:5/2419=0.2067% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_005
tattoo artists,2,3,2,0.1657,0.3003,0.1657,1.7,1.3,2.1,cmp_001:1/230=0.4348% | cmp_002:0/2419=0.0% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_006
tattoos can,2,5,2,0.0829,0.1241,0.0829,0.8,0.6,1.0,cmp_001:0/230=0.0% | cmp_002:4/2419=0.1654% | cmp_003:1/1207=0.0829%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_007
new design,2,5,2,0.0827,0.1656,0.0827,0.8,0.6,1.0,cmp_001:0/230=0.0% | cmp_002:2/2419=0.0827% | cmp_003:3/1207=0.2486%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_008
existing tattoo,2,4,2,0.0827,0.1242,0.0827,0.8,0.6,1.0,cmp_001:0/230=0.0% | cmp_002:2/2419=0.0827% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_009
successful cover,2,3,2,0.0827,0.0828,0.0827,0.8,0.6,1.0,cmp_001:0/230=0.0% | cmp_002:2/2419=0.0827% | cmp_003:1/1207=0.0829%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_010
old tattoos,2,3,2,0.0827,0.0828,0.0827,0.8,0.6,1.0,cmp_001:0/230=0.0% | cmp_002:2/2419=0.0827% | cmp_003:1/1207=0.0829%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_011
ups tattoo,2,3,2,0.0413,0.1035,0.0413,0.4,0.3,0.5,cmp_001:0/230=0.0% | cmp_002:1/2419=0.0413% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_012
original tattoo,2,3,2,0.0413,0.1035,0.0413,0.4,0.3,0.5,cmp_001:0/230=0.0% | cmp_002:1/2419=0.0413% | cmp_003:2/1207=0.1657%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_013
will work,2,2,2,0.0413,0.0621,0.0413,0.4,0.3,0.5,cmp_001:0/230=0.0% | cmp_002:1/2419=0.0413% | cmp_003:1/1207=0.0829%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_014
shapes can,2,2,2,0.0413,0.0621,0.0413,0.4,0.3,0.5,cmp_001:0/230=0.0% | cmp_002:1/2419=0.0413% | cmp_003:1/1207=0.0829%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_015
can create,2,2,2,0.0413,0.0621,0.0413,0.4,0.3,0.5,cmp_001:0/230=0.0% | cmp_002:1/2419=0.0413% | cmp_003:1/1207=0.0829%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_016
can change,2,2,2,0.0413,0.0621,0.0413,0.4,0.3,0.5,cmp_001:0/230=0.0% | cmp_002:1/2419=0.0413% | cmp_003:1/1207=0.0829%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_017
send request,2,12,1,0.0,5.2174,5.2174,52.2,39.2,65.2,cmp_001:12/230=5.2174% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_018
responds within,2,12,1,0.0,5.2174,5.2174,52.2,39.2,65.2,cmp_001:12/230=5.2174% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_019
here button,2,95,1,0.0,3.9272,3.9272,39.3,29.5,49.1,cmp_001:0/230=0.0% | cmp_002:95/2419=3.9272% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_020
caption here,2,95,1,0.0,3.9272,3.9272,39.3,29.5,49.1,cmp_001:0/230=0.0% | cmp_002:95/2419=3.9272% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_021
title write,2,91,1,0.0,3.7619,3.7619,37.6,28.2,47.0,cmp_001:0/230=0.0% | cmp_002:91/2419=3.7619% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_022
slide title,2,91,1,0.0,3.7619,3.7619,37.6,28.2,47.0,cmp_001:0/230=0.0% | cmp_002:91/2419=3.7619% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_023
button slide,2,88,1,0.0,3.6379,3.6379,36.4,27.3,45.5,cmp_001:0/230=0.0% | cmp_002:88/2419=3.6379% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_024
days send,2,7,1,0.0,3.0435,3.0435,30.4,22.8,38.0,cmp_001:7/230=3.0435% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_025
week responds,2,5,1,0.0,2.1739,2.1739,21.7,16.3,27.1,cmp_001:5/230=2.1739% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_026
klarna available,2,5,1,0.0,2.1739,2.1739,21.7,16.3,27.1,cmp_001:5/230=2.1739% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_027
within few,2,4,1,0.0,1.7391,1.7391,17.4,13.0,21.8,cmp_001:4/230=1.7391% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_028
manchester next,2,4,1,0.0,1.7391,1.7391,17.4,13.0,21.8,cmp_001:4/230=1.7391% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_029
few days,2,4,1,0.0,1.7391,1.7391,17.4,13.0,21.8,cmp_001:4/230=1.7391% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_030
within hours,2,3,1,0.0,1.3043,1.3043,13.0,9.8,16.2,cmp_001:3/230=1.3043% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_031
within days,2,3,1,0.0,1.3043,1.3043,13.0,9.8,16.2,cmp_001:3/230=1.3043% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_032
request off,2,3,1,0.0,1.3043,1.3043,13.0,9.8,16.2,cmp_001:3/230=1.3043% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_033
request klarna,2,3,1,0.0,1.3043,1.3043,13.0,9.8,16.2,cmp_001:3/230=1.3043% | cmp_002:0/2419=0.0% | cmp_003:0/1207=0.0%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_034
