prompt_group_id,prompt,target_goal,frequency,geo,brand_variants_tracked,status,prompt_id,monitoring_layer,kpi,kpi_url_citation,kpi_brand_solution
mon-001,realism tattoo artist Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-001-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-001,realism tattoo artist Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-001-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-002,black and grey realism tattoo Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-002-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-002,black and grey realism tattoo Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-002-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-003,colour realism tattoo Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-003-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-003,colour realism tattoo Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-003-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-004,tattoo cover up Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-004-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-004,tattoo cover up Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-004-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-005,custom tattoo artist Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-005-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-005,custom tattoo artist Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-005-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-006,realism tattoo artist Salford,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-006-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-006,realism tattoo artist Salford,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-006-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-007,tattoo artist Salford,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-007-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-007,tattoo artist Salford,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-007-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-008,tattoo consultation Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-008-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-008,tattoo consultation Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-008-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-009,portrait tattoo artist Manchester,both,"weekly for 4 weeks, then monthly",match project region and user/search GEO,"Vladimir Vishar | Vishar Tattoo | Vladimir Vishar Tattoo | vishartattoo.com | vladimir_vishar | Custom Black & Grey Realism tattoos | Custom Colour Realism tattoos | Tattoo cover-ups by assessment | Custom tattoo design | Free tattoo consultations | Realism portraits | Wildlife, floral, mythology, dark realism and horror compositions | Medium and large multi-session realism projects",draft,mon-009-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
